platform,agency,url,date_sampled,likes
SMS,OEM,http://www.flickr.com/nycedc,02/17/2012 12:00:00 AM,61652
SMS,OEM,http://www.flickr.com/nycedc,11/09/2012 12:00:00 AM,44547
Flickr,EDC,http://www.flickr.com/nycedc,05/09/2012 12:00:00 AM,
Newsletter,NYCHA,http://www.flickr.com/nycedc,05/09/2012 12:00:00 AM,
Twitter,DHS,www.twitter.com/nycdhs,06/13/2012 12:00:00 AM,389
Twitter,DHS,www.twitter.com/nycdhs,08/02/2012 12:00:00 AM,431
Android,DOH,Condom Finder,08/08/2011 12:00:00 AM,5026
Android,DOT,You The Man,08/08/2011 12:00:00 AM,
Android,MOME,MiNY Venor app,08/08/2011 12:00:00 AM,313
Broadcastr,DOT,http://www.flickr.com/nycedc,08/08/2011 12:00:00 AM,
Broadcastr,DPR,http://beta.broadcastr.com/Echo.html?audioId=670026-4001,08/08/2011 12:00:00 AM,
Facebook,ENDHT,http://www.facebook.com/pages/NYC-Lets-End-Human-Trafficking/125730490795659?sk=wall,08/08/2011 12:00:00 AM,3
Facebook,VAC,https://www.facebook.com/pages/NYC-Voter-Assistance-Commission/110226709012110,08/08/2011 12:00:00 AM,36
Facebook,PlaNYC,http://www.facebook.com/pages/New-York-NY/PlaNYC/160454173971169?ref=ts,08/08/2011 12:00:00 AM,47
Facebook,DFTA,http://www.facebook.com/pages/NYC-Department-for-the-Aging/109028655823590,08/08/2011 12:00:00 AM,90
Facebook,energyNYC,http://www.facebook.com/EnergyNYC?sk=wall,08/08/2011 12:00:00 AM,105
Facebook,MOIA,http://www.facebook.com/ihwnyc,08/08/2011 12:00:00 AM,123
Facebook,City Store,http://www.facebook.com/citystorenyc,08/08/2011 12:00:00 AM,119
Facebook,OCDV,http://www.facebook.com/pages/NYC-Healthy-Relationship-Training-Academy/134637829901065,08/08/2011 12:00:00 AM,148
Facebook,HIA,http://www.facebook.com/pages/New-York-City-Health-Insurance-Link/145920551598,08/08/2011 12:00:00 AM,197
Facebook,MOPD,http://www.facebook.com/pages/New-York-City-Mayors-Office-for-People-with-Disabilities/145237285504681?sk=wall,08/08/2011 12:00:00 AM,179
Facebook,DOB: UrbanCanvas,http://www.facebook.com/NYCurbancanvas,08/08/2011 12:00:00 AM,200
Facebook,DOT,http://www.facebook.com/JanetteSadikKhan,08/08/2011 12:00:00 AM,200
Facebook,HRA,http://www.facebook.com/#!/pages/New-York-NY/NYC-DADS/111504588886342,08/08/2011 12:00:00 AM,183
Facebook,MOPD,http://www.facebook.com/profile.php?id=1570569347,08/08/2011 12:00:00 AM,190
Facebook,DFTA,http://www.facebook.com/timebanksnyc,08/08/2011 12:00:00 AM,227
Facebook,DOB: Cool Roofs,http://www.facebook.com/coolroofs?sk=wall,08/08/2011 12:00:00 AM,194
Facebook,NYC & Co,http://www.facebook.com/nycgo.nl,08/08/2011 12:00:00 AM,243
Facebook,MOIA,http://www.facebook.com/pages/NYC-Mayors-Office-of-Immigrant-Affairs/118622031512497,08/08/2011 12:00:00 AM,237
